Tamaño (n),Tiempo promedio (s)
4,7.311503092447917e-05
6,0.0001583099365234375
8,0.0008484522501627604
10,0.004209597905476888
12,0.017800013224283855
14,0.08757535616556804
16,0.35449854532877606
